autor,titulo,año,carrera
"Hernández Aguilar, Irving Eduardo,","Fortalecimiento, ruptura y hegemonía :las tres etapas históricas de la lucha de clases en el Manifiesto del Partido Comunista",2022,Historia
"Aguilera Norberto, Jennifer Melissa,",Pensar el imaginario :la patria de Camarena en los libros de texto gratuitos,2021,Historia del Arte
"Pérez González, Ana Victoria,",Las formas simbólicas en el limes :templos expiatorios neogóticos en el occidente de México,2021,Historia del Arte
"López López, Rosalba,","Viajes de ilusión alrededor del mundo :los espectáculos ópticos en la Ciudad de México, Siglo XIX",2020,Historia del Arte
"Rico Gutiérrez, Luz Elena,",De dios a demonio :análisis del grabado Der Abgott Viztliputzli,2020,Historia del Arte
"Vargas Vázquez, Diego Roberto,",El aparato fotográfico y la escritura de la historia,2020,Historia del Arte
"Cervantes Serrano, Virginia,",Iconografía en los cuencos tarascos del periodo posclásico en Michoacán,2019,Historia del Arte
"Jonard Méndez, Noyule Dominique,",Análisis de la propuesta coreográfica estados alterados (2015-2017) de la Compañía la Serpiente,2019,Historia del Arte
"Martínez Chavez, Aarón Eduardo,",De cara a la barbarie :regímenes de mirada en torno a la violencia del México contemporáneo,2019,Historia del Arte
"Noguez Medina, Leilani,",Representación indígena y narrativas identitarias :estudio sobre el audiovisual purépecha,2019,Historia del Arte
"Sánchez Barón, Yaret Verónica,",El México decimonónico a través de la mirada de Carl Nebel :imaginarios sobre alteridad-identidad,2019,Historia del Arte
"Álvarez Castillo, Arturo,",Plataforma de capacitación virtual para hospital seguro,2021,Informática
"Andrade Sobrevilla, Dorothy Anaisa,",Herramientas de mercadotecnia digital en Google (SEO y SEM web con WordPress),2021,Informática
"Badillo Barcenas, César,",Sitio web para el control escolar de una institución pública de educación básica de nivel primaria,2021,Informática
"Hernández Gutiérrez, Pedro Noé,","Sistema de información escolar ""SERVESCOL 2.0"" de la UNAM Canadá",2021,Informática
"Márquez Jiménez, Mariana Atzin,",Diseño e implementación del sitio Web de UNAM Francia,2021,Informática
"Ortiz Andraca, Luis Mario,",Elaboración y diseño de un disco interactivo en apoyo a la asignatura de metodología de la investigación,2021,Informática
"Soria Mendiola, Edmundo,",Sistema para la administración y control de bienes materiales para el Instituto Nacional Electoral,2021,Informática
"Torreblanca González, Ernesto,",Propuesta de mejora para el Sistema del Congreso de Matemáticas de la Facultad de Estudios Superiores de Cuautitlán,2021,Informática
"Villalobos Silvar, Ivan,",Sistema para la administración operativa (SAO),2021,Informática
"Bravo Molina, Miguel,",Elaboración de un manual en español y náhuatl para facilitar el conocimiento de las TIC enfocadas a la comunicación e investigación en el Tercer grado grupo A de la Telesecundaria Julián Carr'; recordLink = '<A HREF=https://tesiunam.dgb.unam.mx:443/F/6Q7Q1UJ586IUF7VVMXSRV4FM6E5RERX8DU53JXX3UBFGXILB5K-49090?func=full-set-set&set_number=378528&set_entry=000010&format=999>10</A>,2020,Informática
"Sandoval García, Judith Natalia,",Rendimiento de grano bajo dos densidades de población y tres dosis de fertilización en híbridos de maíz UNAM e INIFAP,2022,Ingeniería Agrícola
"Aguilar Velázquez, Karen Elizabeth,",Productividad de colectas de maíz palomero toluqueño (Zea mays everta) en Valles Altos de México,2021,Ingeniería Agrícola
"Arroyo León, Isaac Ramón,","Estudio de la probabilidad de ocurrencia de helada en Cuautitlán Izcalli, Estado de México",2021,Ingeniería Agrícola
"Cruz Mayen, Nancy Patricia,","Efectos comparativos de manejo sobre los niveles foliares de N, P y K en dos variedades de manzana, en Mineral de San Joaquín, Querétaro",2021,Ingeniería Agrícola
"Hidalgo Téllez, Karen Ivonne,",Estudio para la nivelación de la parcela siete del Centro de Enseñanza Agropecuaria de la FES-Cuautitlán,2021,Ingeniería Agrícola
"Neria Segovia, Marisol,",Evaluación y diseño del riego por gravedad de la parcela siete de la FESC,2021,Ingeniería Agrícola
"Reyes Pérez, Jesica Abigali,","Determinación de aflatoxinas en cereales de consumo infantil comercializados en Cuautitlán Izcalli, Edo. de Méx.",2021,Ingeniería Agrícola
"Soto Herrera, Inti Ehecatl,",Efectividad biológica de benzoato de emamectina para el control de insectos plaga en el cultivo de Brassicas,2021,Ingeniería Agrícola
"Canales Tovar, Liliana,","Evaluación de la sustentabilidad en agroecosistemas maíz y frijol en Olma Yahualica, Hidalgo",2020,Ingeniería Agrícola
"Fuentes Cadena, Olga Elizabeth,","Propagación in vitro de plantas del género Mentha spp., a partir de segmentos nodales",2020,Ingeniería Agrícola
"Amezcua Romero, Gabriela,","Caso práctico :análisis de costos y precios unitarios empleando opus 2010, referente a : rehabilitación de espacio deportivo Infonavit Iztacalco, ex-lago, en la alcaldía Iztacalco",2022,Ingeniería Civil
"Aragón Salas, Giezi,",Aplicación de la mecánica de materiales a problemas de ingeniería civil,2022,Ingeniería Civil
"Covarrubias Chávez, Cristian Israel,","Análisis y diseño de superestructura de acero para bodega por efectos de viento y sismo, ubicada en Tomendán, municipio de Taretan, Michoacán",2022,Ingeniería Civil
"Deaquino Desales, Aarón,",Análisis de daños a monumentos históricos ocasionados por el sismo de 19 de septiembre de 2017,2022,Ingeniería Civil
"Juárez Hoces, Valentín Ángel,",Estudio de la respuesta sísmica de edificios de planta baja débil rehabilitados con dispositivos de control en su primer nivel,2022,Ingeniería Civil
"López Guerrero, Mario Espartaco,","""Construcción del puente Barranca del Diablo, Km 510+930 carretera Tepic- San Blas, Nayarit""",2022,Ingeniería Civil
"Méndez Pérez, Ervin Elmar,",Colocación de concreto en las cimentaciones de las turbinas de gas de la central termoelectrica EVM II,2022,Ingeniería Civil
"Ortiz Haro Barrera, Pablo,","Ecobici y los sistemas de bicicletas públicas en las megaciudades, evolución y análisis comparativo",2022,Ingeniería Civil
"Pacheco Martín, Luis Gerardo,",Rehabilitación estructural de edificios históricos,2022,Ingeniería Civil
"Pateyro Martínez, Alberto Manuel,",Análisis y diseño de pavimento de concreto asfaltico :acceso al AICM,2022,Ingeniería Civil
"Morales Ramírez, Abraham,",Estudio termodinámico del proceso de lixiviación con tiourea de un concentrado de calcopirita,2022,Ingeniería de Minas y Metalurgia
"Pereira Camacho, Bernardo,","Ejecución, desarrollo y puesta en marcha de un sistema de ventilación en una mina de fluorita, en el municipio Villa de Zaragoza, San Luis Potosí",2022,Ingeniería de Minas y Metalurgia
"Cuevas Hernández, Joée Arturo,",Metodología Lean Six Sigma aplicada a un caso real de barrenación y voladura en la minería subterránea,2021,Ingeniería de Minas y Metalurgia
"Bustamante Méndez, Edjan Eduardo,",Coeficiente de permeabilidad en muestras inalteradas y reconstituidas de jal en un permeámetro de carga constante,2020,Ingeniería de Minas y Metalurgia
"Corchado González, Orlando,",Determinación de parámetros de las diferentes operaciones para lixiviar RAEE con ácido nítrico,2020,Ingeniería de Minas y Metalurgia
"Ortiz Ríos, Carlos Eduardo,",Molienda de bolas en húmedo y en seco con eje excéntrico externo,2020,Ingeniería de Minas y Metalurgia
"Vallejo Castillo, Iván Gustavo,","Propuesta metodológica para la instalación de un laboratorio dentro del Geoparque Mundial de la UNESCO Comarca Minera, Hidalgo",2020,Ingeniería de Minas y Metalurgia
"Chávez Cervantes, Jennyfer Ariadna,",Construcción de mesa concentradora para la concentración gravimétrica de oro microscópico de mineral proveniente del Estado de México,2019,Ingeniería de Minas y Metalurgia
"Fernández Reyes, Silvia Flor,","Evaluación del efecto de las presencia de bacterias acidófilas en la generación de drenaje ácido de mina en Taxco, Guerrero",2019,Ingeniería de Minas y Metalurgia
"Hernández Pérez, Ángel,",Alternativa de tratamiento para remediar un terrero lixiviado con bacterias sulfato reductoras,2019,Ingeniería de Minas y Metalurgia
"Alonso Torres, Brayan Eduardo,",Diseño y evaluación de experimentos de retroalimentación de fuerza utilizando un robot de seis grados de libertad,2021,Ingeniería Eléctrica Electrónica
"Baez Galindo, Juan Carlos,",Análisis de ferroresonancia en sistemas de distribución subterráneos,2021,Ingeniería Eléctrica Electrónica
"Barbosa Elizalde, Rafael Enrique,",Caracterización y puesta en marcha de una unidad de absorción de potencia de corrientes parásitas,2021,Ingeniería Eléctrica Electrónica
"Becerra Nuñez, Luis Andrés,",Desarrollo de prácticas de aplicación del relevador digital sel 351S e implementación de un módulo didáctico de interruptor de potencia,2021,Ingeniería Eléctrica Electrónica
"Cedillo Jiménez, Ángel Gustavo,",Análisis del valor de los certificados de energía limpia en México con criterio de equidad,2021,Ingeniería Eléctrica Electrónica
"Escobar Tufiño, Miguel Ángel,",Estimación de parámetros de motores de reluctancia,2021,Ingeniería Eléctrica Electrónica
"González Salgado, Uriel,",Rediseño y control de una plataforma experimental para procesos de transferencia de calor,2021,Ingeniería Eléctrica Electrónica
"Juárez Ramírez, Diego,",Amplificador de audio para guitarra con ecualización inalámbrica mediante aplicación móvil,2021,Ingeniería Eléctrica Electrónica
"Lara Tenorio, Christo Aldair,",Diseño de un sistema de comando y manejo de información,2021,Ingeniería Eléctrica Electrónica
"López Ayala, Jorge David,",Instrumentación y automatización del laboratorio de grafeno del Instituto de Física,2021,Ingeniería Eléctrica Electrónica
"Barreira Mendoza, Mario Enrique,",Propiedades reológicas y fisicoquímicas de un aderezo de aguacate y extracción de aceite en la semilla empleando ultrasonido,2022,Ingeniería en Alimentos
"Guzmán Benitez, Diana Laura,","""Situación actual de la producción de cerveza artesanal en México""",2022,Ingeniería en Alimentos
"Namorado Ruiz, Issa Michelle,","Propuesta de guía para disminuir la obesidad infantil basada en el análisis de acciones gubernamentales, perspectiva del ingeniero en alimentos",2022,Ingeniería en Alimentos
"Aguilar Mondragón, Gabriela,",Evaluar el efecto antimicrobiano del Zingiber officinales y origanum vulgare en recubrimientos comestibles a base de hidrocarburos en productos cárnicos,2021,Ingeniería en Alimentos
"Bueno Méndez, Fernanda Desire,",Envase comestible y soluble a base de xiloglucano para café liofilizado y sustituto de crema en polvo,2021,Ingeniería en Alimentos
"Capetillo Rubio, Araceli,",Elaboración de bebida carbonatada de fruto de garambullo (Myrtillocactus geometrizans) aplicando ozono y sonicación como métodos alternativos a la pasteurización,2021,Ingeniería en Alimentos
